n,elapsed_time (ms)
0,0
1000,0
2000,0
3000,0
4000,0
5000,0
6000,0
7000,1
8000,1
9000,1
10000,1
11000,2
12000,2
13000,2
14000,3
15000,3
16000,3
17000,3
18000,4
19000,4
20000,4
21000,5
22000,5
23000,5
24000,5
25000,6
26000,6
27000,6
28000,7
29000,7
30000,7
31000,8
32000,7
33000,9
34000,9
35000,9
36000,9
37000,10
38000,10
39000,10
40000,11
41000,11
42000,11
43000,12
44000,12
45000,12
46000,13
47000,13
48000,13
49000,14
50000,14
51000,14
52000,15
53000,15
54000,15
55000,16
56000,16
57000,17
58000,17
59000,17
60000,17
61000,18
62000,20
63000,22
64000,19
65000,23
66000,22
67000,23
68000,23
69000,22
70000,22
71000,23
72000,23
73000,22
74000,23
75000,23
76000,24
77000,23
78000,24
79000,25
80000,25
81000,25
82000,27
83000,28
84000,30
85000,33
86000,29
87000,29
88000,31
89000,32
90000,30
91000,31
92000,31
93000,30
94000,31
95000,31
96000,31
97000,31
98000,32
99000,32
100000,35
101000,39
102000,35
103000,35
104000,36
105000,35
106000,36
107000,35
108000,37
109000,38
110000,38
111000,38
112000,37
113000,37
114000,41
115000,40
116000,39
117000,41
118000,40
119000,40
120000,40
121000,41
122000,41
123000,41
